Date;Intervenant;Cours
lundi 8 juin 2026;Ascent - Olivier;Security+ - Préparation à la certification
mardi 9 juin 2026;;selfstudy
mercredi 10 juin 2026;Ascent - Olivier;Security+ - Préparation à la certification
jeudi 11 juin 2026;;selfstudy
vendredi 12 juin 2026;Ascent - Olivier;Security+ - Préparation à la certification
lundi 15 juin 2026;Ascent - Olivier;Security+ - Préparation à la certification
mardi 16 juin 2026;;selfstudy
mercredi 17 juin 2026;Ascent - Olivier;Security+ - Préparation à la certification
jeudi 18 juin 2026;;selfstudy
vendredi 19 juin 2026;;selfstudy
lundi 22 juin 2026;;selfstudy
mardi 23 juin 2026;;selfstudy
jeudi 25 juin 2026;Ascent - Romain;Accompagnement projet fin d'étude
vendredi 26 juin 2026;;Passage de la certification
jeudi 2 juillet 2026;Ascent - Romain;Projet fin d'étude
vendredi 3 juillet 2026;;Projet fin d'étude
mercredi 8 juillet 2026;Ascent - Romain;Projet fin d'étude
vendredi 10 juillet 2026;;Soutenance
